subject,age,gender,word,list,oddtype,rating
5,27,M,aniversario,33,perceptual,9
5,27,M,novia,33,perceptual,10
5,27,M,capilla,34,perceptual,10
5,27,M,piano,34,perceptual,8
5,27,M,monasterio,34,perceptual,4
5,27,M,clero,34,perceptual,3
5,27,M,fe,34,perceptual,8
5,27,M,campanario,34,perceptual,9
5,27,M,ministro,34,perceptual,0
5,27,M,coro,34,perceptual,7
5,27,M,comunion,34,perceptual,10
5,27,M,catedral,34,perceptual,8
5,27,M,dios,34,perceptual,9
5,27,M,convento,34,perceptual,8
5,27,M,ceremonia,34,perceptual,10
5,27,M,entrega,34,perceptual,0
5,27,M,sueno,35,perceptual,10
5,27,M,dormitorio,35,perceptual,10
5,27,M,noche,35,perceptual,10
5,27,M,ocaso,35,perceptual,2
5,27,M,anochecer,35,perceptual,10
5,27,M,reloj,35,perceptual,5
5,27,M,cortina,35,perceptual,4
5,27,M,sabana,35,perceptual,10
5,27,M,alcoba,35,perceptual,1
5,27,M,pijama,35,perceptual,9
5,27,M,habitacion,35,perceptual,10
5,27,M,luna,35,perceptual,10
5,27,M,almohada,35,perceptual,10
5,27,M,manta,35,perceptual,10
5,27,M,vivienda,36,perceptual,10
5,27,M,inquilino,36,perceptual,10
5,27,M,chalet,36,perceptual,2
5,27,M,mansion,36,perceptual,1
5,27,M,sotano,36,perceptual,4
5,27,M,casa,36,perceptual,10
5,27,M,habitante,36,perceptual,8
5,27,M,bano,36,perceptual,10
5,27,M,domicilio,36,perceptual,10
5,27,M,piso,36,perceptual,10
5,27,M,propietario,36,perceptual,10
5,27,M,apartamento,36,perceptual,10
