enc_pos,rec_pos,list_type,subject,item
12,,emotional,21,oddball
7,5,emotional,21,oddball
8,7,perceptual,21,oddball
7,1,perceptual,21,oddball
12,8,emotional,21,oddball
7,,emotional,21,oddball
7,,perceptual,21,oddball
12,,emotional,21,oddball
8,5,perceptual,21,oddball
12,6,emotional,21,oddball
7,,perceptual,21,oddball
9,,emotional,21,oddball
9,3,emotional,21,oddball
7,5,emotional,21,oddball
8,,perceptual,21,oddball
7,6,perceptual,21,oddball
12,3,perceptual,21,oddball
7,,emotional,21,oddball
7,8,perceptual,21,oddball
11,,perceptual,21,oddball
12,,emotional,21,oddball
8,,perceptual,21,oddball
12,1,emotional,21,oddball
12,,perceptual,21,oddball
12,8,emotional,21,oddball
8,8,emotional,21,oddball
7,10,emotional,21,oddball
11,,emotional,21,oddball
8,,emotional,21,oddball
8,,emotional,21,oddball
8,1,perceptual,21,oddball
9,,perceptual,21,oddball
12,,perceptual,21,oddball
11,,emotional,21,oddball
7,2,perceptual,21,oddball
8,,perceptual,21,oddball
12,,perceptual,21,oddball
8,7,emotional,21,oddball
9,,emotional,22,oddball
9,4,emotional,22,oddball
7,6,emotional,22,oddball
7,6,perceptual,22,oddball
8,,emotional,22,oddball
7,,perceptual,22,oddball
12,6,emotional,22,oddball
12,8,perceptual,22,oddball
7,2,emotional,22,oddball
12,10,emotional,22,oddball
8,7,perceptual,22,oddball
9,8,perceptual,22,oddball
7,,emotional,22,oddball
12,10,perceptual,22,oddball
9,10,perceptual,22,oddball
8,,emotional,22,oddball
12,5,emotional,22,oddball
8,5,perceptual,22,oddball
8,,perceptual,22,oddball
9,8,perceptual,22,oddball
8,,emotional,22,oddball
11,5,emotional,22,oddball
12,10,perceptual,22,oddball
7,6,perceptual,22,oddball
11,4,perceptual,22,oddball
7,7,emotional,22,oddball
12,,emotional,22,oddball
7,,perceptual,22,oddball
8,6,perceptual,22,oddball
12,4,perceptual,22,oddball
8,9,emotional,22,oddball
8,,emotional,22,oddball
7,4,emotional,22,oddball
8,6,emotional,22,oddball
9,7,perceptual,22,oddball
11,9,emotional,22,oddball
8,5,perceptual,22,oddball
11,5,perceptual,22,oddball
7,5,perceptual,22,oddball
7,9,emotional,22,oddball
7,2,emotional,23,oddball
7,9,emotional,23,oddball
9,4,emotional,23,oddball
8,2,perceptual,23,oddball
11,9,emotional,23,oddball
11,,perceptual,23,oddball
7,5,emotional,23,oddball
9,7,perceptual,23,oddball
8,,perceptual,23,oddball
9,9,perceptual,23,oddball
8,4,emotional,23,oddball
7,,emotional,23,oddball
12,8,emotional,23,oddball
7,8,emotional,23,oddball
7,12,emotional,23,oddball
12,,perceptual,23,oddball
12,,emotional,23,oddball
7,,emotional,23,oddball
12,,emotional,23,oddball
12,,perceptual,23,oddball
9,,perceptual,23,oddball
7,,emotional,23,oddball
7,,emotional,23,oddball
7,,perceptual,23,oddball
8,,emotional,23,oddball
7,,perceptual,23,oddball
7,,emotional,23,oddball
7,,perceptual,23,oddball
7,,perceptual,23,oddball
7,,emotional,23,oddball
7,,perceptual,23,oddball
7,,perceptual,23,oddball
8,,perceptual,23,oddball
12,,perceptual,23,oddball
9,,perceptual,23,oddball
7,,perceptual,23,oddball
7,,perceptual,23,oddball
12,,emotional,23,oddball
8,,perceptual,23,oddball
9,,emotional,23,oddball
7,2,perceptual,24,oddball
7,,emotional,24,oddball
12,8,perceptual,24,oddball
12,,emotional,24,oddball
12,2,perceptual,24,oddball
8,4,emotional,24,oddball
7,,emotional,24,oddball
12,5,emotional,24,oddball
7,3,emotional,24,oddball
7,,emotional,24,oddball
12,,perceptual,24,oddball
12,10,perceptual,24,oddball
11,1,emotional,24,oddball
8,8,perceptual,24,oddball
7,1,perceptual,24,oddball
7,4,perceptual,24,oddball
11,3,emotional,24,oddball
11,,emotional,24,oddball
9,,perceptual,24,oddball
7,6,emotional,24,oddball
7,,emotional,24,oddball
12,2,perceptual,24,oddball
11,1,emotional,24,oddball
7,6,emotional,24,oddball
8,6,emotional,24,oddball
11,5,emotional,24,oddball
12,7,perceptual,24,oddball
7,3,perceptual,24,oddball
8,,perceptual,24,oddball
7,,perceptual,24,oddball
11,6,perceptual,24,oddball
11,3,perceptual,24,oddball
12,6,emotional,24,oddball
9,,perceptual,24,oddball
8,,perceptual,24,oddball
12,,perceptual,24,oddball
12,,emotional,24,oddball
7,,emotional,24,oddball
12,,emotional,24,oddball
11,,perceptual,24,oddball
12,1,perceptual,25,oddball
7,,perceptual,25,oddball
11,,perceptual,25,oddball
7,,emotional,25,oddball
8,,emotional,25,oddball
7,4,perceptual,25,oddball
11,,perceptual,25,oddball
12,7,emotional,25,oddball
7,,emotional,25,oddball
9,,emotional,25,oddball
7,4,perceptual,25,oddball
11,,emotional,25,oddball
11,9,perceptual,25,oddball
12,1,emotional,25,oddball
7,6,perceptual,25,oddball
7,,emotional,25,oddball
7,6,emotional,25,oddball
11,7,emotional,25,oddball
8,1,emotional,25,oddball
7,,perceptual,25,oddball
7,4,perceptual,25,oddball
11,,emotional,25,oddball
7,,emotional,25,oddball
8,4,perceptual,25,oddball
8,9,perceptual,25,oddball
7,7,emotional,25,oddball
,,,,oddball
8,8,emotional,25,oddball
12,3,emotional,25,oddball
8,3,emotional,25,oddball
7,2,perceptual,25,oddball
7,4,emotional,25,oddball
7,,emotional,25,oddball
8,4,perceptual,25,oddball
9,1,perceptual,25,oddball
9,4,perceptual,25,oddball
8,2,emotional,25,oddball
7,2,perceptual,25,oddball
12,1,perceptual,25,oddball
12,1,perceptual,25,oddball
7,,emotional,26,oddball
7,1,emotional,26,oddball
7,,emotional,26,oddball
12,,emotional,26,oddball
9,5,emotional,26,oddball
8,4,emotional,26,oddball
12,,perceptual,26,oddball
12,,emotional,26,oddball
12,10,perceptual,26,oddball
12,4,perceptual,26,oddball
7,3,perceptual,26,oddball
9,2,perceptual,26,oddball
12,8,perceptual,26,oddball
12,,emotional,26,oddball
9,,emotional,26,oddball
7,10,emotional,26,oddball
11,6,perceptual,26,oddball
8,5,perceptual,26,oddball
8,1,emotional,26,oddball
12,5,perceptual,26,oddball
8,,emotional,26,oddball
8,,emotional,26,oddball
8,,perceptual,26,oddball
9,,emotional,26,oddball
9,,emotional,26,oddball
7,4,emotional,26,oddball
11,,perceptual,26,oddball
9,,emotional,26,oddball
7,,perceptual,26,oddball
8,,perceptual,26,oddball
7,5,perceptual,26,oddball
7,2,perceptual,26,oddball
