subject,age,gender,word,salience,list,rating 
10,21,M,legislacion,neutral,1,-1
10,21,M,cumplimiento,neutral,1,1
10,21,M,regla,neutral,1,1
10,21,M,consenso,neutral,1,3
10,21,M,instrucci—n,neutral,1,1
10,21,M,contrato,neutral,1,3
10,21,M,permiso,neutral,1,3
10,21,M,resolucion,neutral,1,4
10,21,M,declaracion,neutral,1,1
10,21,M,pauta,neutral,1,1
10,21,M,decision,neutral,1,3
10,21,M,nazi,eodd,2,-6
10,21,M,nacionalidad,neutral,2,0
10,21,M,cultura,neutral,2,3
10,21,M,visitante,neutral,2,3
10,21,M,natal,neutral,2,3
10,21,M,idioma,neutral,2,3
10,21,M,originario,neutral,2,1
10,21,M,extranjero,neutral,2,1
10,21,M,inmigracion,neutral,2,-2
10,21,M,pasaporte,neutral,2,3
10,21,M,patriotismo,neutral,2,-3
10,21,M,viaje,neutral,2,5
10,21,M,lugareno,neutral,2,3
10,21,M,visado,neutral,2,-2
10,21,M,sufrimiento,eodd,3,-6
10,21,M,sensibilidad,neutral,3,3
10,21,M,palma,neutral,3,2
10,21,M,terciopelo,neutral,3,5
10,21,M,vibracion,neutral,3,2
10,21,M,dedo,neutral,3,2
10,21,M,piel,neutral,3,2
10,21,M,cuerpo,neutral,3,0
10,21,M,nervio,neutral,3,-1
10,21,M,sensacion,neutral,3,2
10,21,M,roce,neutral,3,2
10,21,M,superficie,neutral,3,0
10,21,M,contacto,neutral,3,2
10,21,M,textura,neutral,3,3
10,21,M,asesino,eodd,4,-6
10,21,M,ocupacion,neutral,4,2
10,21,M,profesion,neutral,4,0
10,21,M,actor,neutral,4,4
10,21,M,quimico,neutral,4,2
10,21,M,vocacion,neutral,4,5
10,21,M,abogado,neutral,4,-3
10,21,M,contable,neutral,4,-3
10,21,M,banquero,neutral,4,-3
10,21,M,empleo,neutral,4,1
10,21,M,aprendiz,neutral,4,3
10,21,M,ingeniero,neutral,4,2
10,21,M,trabajo,neutral,4,1
10,21,M,fisico,neutral,4,2
10,21,M,asfixia,eodd,5,-6
10,21,M,oxigeno,neutral,5,4
10,21,M,respiracion,neutral,5,3
10,21,M,nariz,neutral,5,3
10,21,M,viento,neutral,5,1
10,21,M,inhalacion,neutral,5,2
10,21,M,pulmon,neutral,5,4
10,21,M,soplo,neutral,5,2
10,21,M,vapor,neutral,5,2
10,21,M,ventilacion,neutral,5,4
10,21,M,brisa,neutral,5,4
10,21,M,branquias,neutral,5,-1
