subject,oddballtype,transition,direction,wordposition,CRP
55,highrec,to,Forwards,1,1
56,highrec,to,Forwards,1,NaN
57,highrec,to,Forwards,1,0
58,highrec,to,Forwards,1,0
59,highrec,to,Forwards,1,0
60,highrec,to,Forwards,1,0.5
61,highrec,to,Forwards,1,0.5
62,highrec,to,Forwards,1,1
63,highrec,to,Forwards,1,0.333333333333333
64,highrec,to,Forwards,1,1
65,highrec,to,Forwards,1,0
66,highrec,to,Forwards,1,0
67,highrec,to,Forwards,1,0.5
68,highrec,to,Forwards,1,0
69,highrec,to,Forwards,1,0
70,highrec,to,Forwards,1,0.666666666666667
71,highrec,to,Forwards,1,NaN
72,highrec,to,Forwards,1,0.333333333333333
73,highrec,to,Forwards,1,0.5
74,highrec,to,Forwards,1,NaN
75,highrec,to,Forwards,1,0.5
4,highrec,to,Forwards,2,0.333333333333333
5,highrec,to,Forwards,2,0
6,highrec,to,Forwards,2,NaN
7,highrec,to,Forwards,2,1
9,highrec,to,Forwards,2,0.333333333333333
10,highrec,to,Forwards,2,0.333333333333333
11,highrec,to,Forwards,2,0
12,highrec,to,Forwards,2,0.5
14,highrec,to,Forwards,2,0
15,highrec,to,Forwards,2,0
16,highrec,to,Forwards,2,0
17,highrec,to,Forwards,2,0
18,highrec,to,Forwards,2,0.5
19,highrec,to,Forwards,2,0.5
20,highrec,to,Forwards,2,0
21,highrec,to,Forwards,2,0.6
22,highrec,to,Forwards,2,0
23,highrec,to,Forwards,2,0.333333333333333
24,highrec,to,Forwards,2,0
25,highrec,to,Forwards,2,NaN
26,highrec,to,Forwards,2,NaN
27,highrec,to,Forwards,2,0
28,highrec,to,Forwards,2,1
29,highrec,to,Forwards,2,NaN
30,highrec,to,Forwards,2,1
31,highrec,to,Forwards,2,0
32,highrec,to,Forwards,2,0.25
33,highrec,to,Forwards,2,0
34,highrec,to,Forwards,2,0
35,highrec,to,Forwards,2,0.428571428571429
36,highrec,to,Forwards,2,NaN
37,highrec,to,Forwards,2,0
38,highrec,to,Forwards,2,0
39,highrec,to,Forwards,2,0
40,highrec,to,Forwards,2,0
41,highrec,to,Forwards,2,0
42,highrec,to,Forwards,2,0.666666666666667
43,highrec,to,Forwards,2,0.333333333333333
44,highrec,to,Forwards,2,0
45,highrec,to,Forwards,2,0.333333333333333
46,highrec,to,Forwards,2,0.333333333333333
47,highrec,to,Forwards,2,0
48,highrec,to,Forwards,2,0
49,highrec,to,Forwards,2,0
50,highrec,to,Forwards,2,0
51,highrec,to,Forwards,2,0
52,highrec,to,Forwards,2,0
53,highrec,to,Forwards,2,0
54,highrec,to,Forwards,2,1
55,highrec,to,Forwards,2,0
56,highrec,to,Forwards,2,0
57,highrec,to,Forwards,2,0
58,highrec,to,Forwards,2,0
59,highrec,to,Forwards,2,0
60,highrec,to,Forwards,2,NaN
61,highrec,to,Forwards,2,0
62,highrec,to,Forwards,2,0
63,highrec,to,Forwards,2,0.333333333333333
64,highrec,to,Forwards,2,0
65,highrec,to,Forwards,2,1
66,highrec,to,Forwards,2,0
67,highrec,to,Forwards,2,0.5
68,highrec,to,Forwards,2,0.5
69,highrec,to,Forwards,2,0
70,highrec,to,Forwards,2,0
71,highrec,to,Forwards,2,NaN
72,highrec,to,Forwards,2,1
73,highrec,to,Forwards,2,0.333333333333333
74,highrec,to,Forwards,2,1
75,highrec,to,Forwards,2,0
