subject,oddballtype,transition,direction,wordposition,CRP
47,amn,to,Forwards,2,0
48,amn,to,Forwards,2,0
49,amn,to,Forwards,2,0
50,amn,to,Forwards,2,0
51,amn,to,Forwards,2,0.5
52,amn,to,Forwards,2,0
53,amn,to,Forwards,2,NaN
54,amn,to,Forwards,2,1
55,amn,to,Forwards,2,0
56,amn,to,Forwards,2,0
57,amn,to,Forwards,2,0
58,amn,to,Forwards,2,NaN
59,amn,to,Forwards,2,0
60,amn,to,Forwards,2,NaN
61,amn,to,Forwards,2,NaN
62,amn,to,Forwards,2,0.5
63,amn,to,Forwards,2,0.666666666666667
64,amn,to,Forwards,2,0
65,amn,to,Forwards,2,1
66,amn,to,Forwards,2,NaN
67,amn,to,Forwards,2,NaN
68,amn,to,Forwards,2,0
69,amn,to,Forwards,2,0
70,amn,to,Forwards,2,0
71,amn,to,Forwards,2,NaN
73,amn,to,Forwards,2,0
74,amn,to,Forwards,2,NaN
75,amn,to,Forwards,2,0
4,amn,to,Forwards,3,0
5,amn,to,Forwards,3,NaN
6,amn,to,Forwards,3,0
7,amn,to,Forwards,3,NaN
9,amn,to,Forwards,3,NaN
10,amn,to,Forwards,3,0
11,amn,to,Forwards,3,0
12,amn,to,Forwards,3,0.5
14,amn,to,Forwards,3,0
15,amn,to,Forwards,3,0
16,amn,to,Forwards,3,0
17,amn,to,Forwards,3,0
18,amn,to,Forwards,3,0
19,amn,to,Forwards,3,NaN
20,amn,to,Forwards,3,NaN
21,amn,to,Forwards,3,0
22,amn,to,Forwards,3,0
23,amn,to,Forwards,3,0
24,amn,to,Forwards,3,NaN
25,amn,to,Forwards,3,1
26,amn,to,Forwards,3,NaN
27,amn,to,Forwards,3,NaN
28,amn,to,Forwards,3,0
29,amn,to,Forwards,3,NaN
30,amn,to,Forwards,3,1
31,amn,to,Forwards,3,0
32,amn,to,Forwards,3,0.5
33,amn,to,Forwards,3,NaN
34,amn,to,Forwards,3,NaN
35,amn,to,Forwards,3,0
36,amn,to,Forwards,3,NaN
37,amn,to,Forwards,3,1
38,amn,to,Forwards,3,0
39,amn,to,Forwards,3,0
40,amn,to,Forwards,3,0
41,amn,to,Forwards,3,NaN
42,amn,to,Forwards,3,0
43,amn,to,Forwards,3,1
44,amn,to,Forwards,3,NaN
45,amn,to,Forwards,3,0
46,amn,to,Forwards,3,1
47,amn,to,Forwards,3,0
